49
-626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0 312.5
312.5 -626.0
-0.00535130255353522 -0.010760416823501373 -0.01628492637007639 -0.021981959340621415 -0.027907963011784886 -0.03411848101728765 -0.04066793414250469 -0.0476094055513272 -0.054994431289969725 -0.06287279689877323 -0.07129234093076775 -0.08029876615484 -0.08993545918860946 -0.10024331926973673 -0.11126059684670508 -0.12302274262111723 -0.1355622676397843 -0.14890861498975028 -0.16308804359783835 -0.17812352459992553 -0.19403465068489822 -0.21083755876986743 -0.2285448663157581 -0.24716562153287214 -0.26670526766974945 -0.28716562153283576 -0.30854486631596956 -0.33083755876981513 -0.3540346506849801 -0.3781235245998573 -0.4030880435976769 -0.428908614989723 -0.45556226763989116 -0.4830227426211309 -0.511260596846455 -0.5402433192697345 -0.5699354591886276 -0.6002987661548218 -0.6312923409305427 -0.6628727968988528 -0.6949944312898992 -0.7276094055512772 -0.7606679341426457 -0.794118481017108 -0.8279079630117394 -0.8619819593407101 -0.8962849263701855 -0.9307604168234889 -313.46535130255364 
